# Basket Delta surfaces — N=256, rho=0.0, domain [-6,6]^2
# sigma1=0.2 sigma2=0.2 r=0.05 T=1.0 K=100.0 Nt=500
# ~50x50 subgrid of full 256x256 mesh; 2704 rows
x1,x2,S1,S2,u_DPG,delta1,delta2
-5.0390625,-5.2734375,0.6479820303,0.5125959766,-9.441594504e-07,-2.396235988e-06,-5.400320983e-06
-5.0390625,-5.0390625,0.6479820303,0.6479820303,-1.097232367e-06,-2.157683808e-06,-1.943846465e-06
-5.0390625,-4.8046875,0.6479820303,0.8191260383,-1.110372748e-06,-1.279459635e-06,1.694424041e-07
-5.0390625,-4.5703125,0.6479820303,1.035472336,-1.092778258e-06,1.543481575e-07,2.18651824e-06
-5.0390625,-4.3359375,0.6479820303,1.308959682,-8.446721616e-07,2.090877474e-06,4.228805617e-06
-5.0390625,-4.1015625,0.6479820303,1.654680082,-2.478719231e-07,4.222576406e-06,4.376785006e-06
-5.0390625,-3.8671875,0.6479820303,2.091711616,2.714908928e-07,6.091434376e-06,3.444446824e-06
-5.0390625,-3.6328125,0.6479820303,2.644171242,5.909239683e-07,7.428073392e-06,3.074536861e-06
-5.0390625,-3.3984375,0.6479820303,3.342545645,1.172373292e-06,7.864019126e-06,2.722559536e-06
-5.0390625,-3.1640625,0.6479820303,4.225373613,2.024833173e-06,7.244709059e-06,1.9310488e-06
-5.0390625,-2.9296875,0.6479820303,5.341372733,2.722167445e-06,5.412856515e-06,7.457715351e-07
-5.0390625,-2.6953125,0.6479820303,6.752127808,2.676819162e-06,2.367039196e-06,3.914263373e-07
-5.0390625,-2.4609375,0.6479820303,8.535489323,2.670498384e-06,-1.422558428e-06,-1.012205961e-07
-5.0390625,-2.2265625,0.6479820303,10.78986951,2.33855874e-06,-5.557802258e-06,-4.347260658e-07
-5.0390625,-1.9921875,0.6479820303,13.6396731,1.883347366e-06,-9.453459946e-06,-4.978121394e-07
-5.0390625,-1.7578125,0.6479820303,17.24216239,1.557588084e-06,-1.234674966e-05,-6.039572293e-07
-5.0390625,-1.5234375,0.6479820303,21.79613556,7.319223464e-07,-1.381239933e-05,-6.960378458e-07
-5.0390625,-1.2890625,0.6479820303,27.55289705,-6.26718182e-07,-1.315738873e-05,-5.516077655e-07
-5.0390625,-1.0546875,0.6479820303,34.83012544,-1.469311693e-06,-1.014357251e-05,-3.391605146e-07
-5.0390625,-0.8203125,0.6479820303,44.02940411,-1.745285424e-06,-5.197768064e-06,-2.28433037e-07
-5.0390625,-0.5859375,0.6479820303,55.65838198,-2.284978361e-06,1.410371021e-06,-1.527841302e-07
-5.0390625,-0.3515625,0.6479820303,70.35878743,-2.838774348e-06,8.746626971e-06,-7.111260159e-08
-5.0390625,-0.1171875,0.6479820303,88.94184116,-3.271217052e-06,1.537634289e-05,-2.238779377e-08
-5.0390625,0.1171875,0.6479820303,112.4330222,-3.442185806e-06,2.30474384e-05,1.320475958e-08
-5.0390625,0.3515625,0.6479820303,142.1286575,-2.636519603e-06,2.881575922e-05,1.883148372e-08
-5.0390625,0.5859375,0.6479820303,179.6674579,-2.291737056e-06,3.23912248e-05,2.471647432e-08
-5.0390625,0.8203125,0.6479820303,227.120948,-1.941747492e-06,3.365413e-05,2.512339266e-08
-5.0390625,1.0546875,0.6479820303,287.1077802,-1.666196796e-06,3.226955871e-05,2.537391146e-08
