S,delta_DPG_tau01,delta_exact_tau01,delta_DPG_tau025,delta_exact_tau025,delta_DPG_tau05,delta_exact_tau05,delta_DPG_tau10,delta_exact_tau10
422.6635346,1.000018658,1,1.000013018,1,1.000002822,1,0.999981376,1
432.6867114,1.000019897,1,1.000014903,1,1.000006019,1,0.9999871043,1
442.9475811,1.000020543,1,1.000016166,1,1.000008433,1,0.9999917904,1
453.4517803,1.000020658,1,1.000016828,1,1.000010122,1,0.9999955458,1
464.2050794,1.000020117,1,1.000016827,1,1.000011065,1,0.9999983615,1
475.2133856,1.000020317,1,1.000017475,1,1.000012556,1,1.000001564,1
486.4827463,1.000020916,1,1.000018597,1,1.000014416,1,1.000004906,1
498.0193521,1.000021996,1,1.0000202,1,1.000016652,1,1.000008418,1
509.8295407,1.000022958,1,1.000021628,1,1.000018627,1,1.000011503,1
521.9197999,1.000023041,1,1.00002203,1,1.00001951,1,1.000013389,1
534.2967712,1.000022764,1,1.000021956,1,1.000019848,1,1.000014625,1
546.967254,1.000022296,1,1.000021563,1,1.000019788,1,1.000015345,1
559.9382087,1.000022479,1,1.000021838,1,1.000020331,1,1.000016543,1
573.2167606,1.000022825,1,1.000022209,1,1.00002091,1,1.00001768,1
586.8102044,1.000022846,1,1.000022332,1,1.000021231,1,1.000018488,1
